32138, 小镇Ville, 艺术家合居空间, Latoya Williams的房间
32148, 小镇Ville, 艺术家合居空间, Latoya Williams的浴室
32158, 小镇Ville, 艺术家合居空间, Rajiv Patel的房间
32168, 小镇Ville, 艺术家合居空间, Rajiv Patel的浴室
32178, 小镇Ville, 艺术家合居空间, Abigail Chen的房间
32188, 小镇Ville, 艺术家合居空间, Abigail Chen的浴室
32198, 小镇Ville, 艺术家合居空间, Francisco Lopez的房间
32139, 小镇Ville, 艺术家合居空间, Francisco Lopez的浴室
32149, 小镇Ville, 艺术家合居空间, Hailey Johnson的房间
32159, 小镇Ville, 艺术家合居空间, Hailey Johnson的浴室
32179, 小镇Ville, 艺术家合居空间, 公共休息室
32189, 小镇Ville, 艺术家合居空间, 厨房
32199, 小镇Ville, Arthur Burton的公寓, 主房间
32140, 小镇Ville, Arthur Burton的公寓, 浴室
32150, 小镇Ville, Ryan Park的公寓, 主房间
32160, 小镇Ville, Ryan Park的公寓, 浴室
32170, 小镇Ville, Isabella Rodriguez的公寓, 主房间
32180, 小镇Ville, Isabella Rodriguez的公寓, 浴室
32190, 小镇Ville, Giorgio Rossi的公寓, 主房间
32200, 小镇Ville, Giorgio Rossi的公寓, 浴室
32141, 小镇Ville, Carlos Gomez的公寓, 主房间
32151, 小镇Ville, Carlos Gomez的公寓, 浴室
32161, 小镇Ville, 玫瑰冕酒吧, 酒吧
32171, 小镇Ville, 霍布斯咖啡店, 咖啡店
32181, 小镇Ville, 橡树山学院, 教室
32191, 小镇Ville, 橡树山学院, 图书馆
32201, 小镇Ville, 橡树山学院, 走廊
32142, 小镇Ville, 约翰逊公园, 公园
32152, 小镇Ville, 哈维橡树供应店, 供应店
32162, 小镇Ville, 柳树市场和药房, 商店
32193, 小镇Ville, Adam Smith的房子, 主房间
32203, 小镇Ville, Adam Smith的房子, 浴室
32174, 小镇Ville, Yuriko Yamamoto的房子, 主房间
32184, 小镇Ville, Yuriko Yamamoto的房子, 浴室
32194, 小镇Ville, Moore家的房子, 主房间
32204, 小镇Ville, Moore家的房子, 浴室
32172, 小镇Ville, 橡树山学院宿舍, Klaus Mueller的房间
32182, 小镇Ville, 橡树山学院宿舍, Maria Lopez的房间
32192, 小镇Ville, 橡树山学院宿舍, Ayesha Khan的房间
32202, 小镇Ville, 橡树山学院宿舍, Wolfgang Schulz的房间
32143, 小镇Ville, 橡树山学院宿舍, 男性浴室
32153, 小镇Ville, 橡树山学院宿舍, 女性浴室
32163, 小镇Ville, 橡树山学院宿舍, 公共休息室
32173, 小镇Ville, 橡树山学院宿舍, 厨房
32183, 小镇Ville, 橡树山学院宿舍, 花园
32205, 小镇Ville, Tamara Taylor和Carmen Ortiz的房子, Tamara Taylor的房间
32215, 小镇Ville, Tamara Taylor和Carmen Ortiz的房子, Carmen Ortiz的房间
32225, 小镇Ville, Tamara Taylor和Carmen Ortiz的房子, 公共休息室
32235, 小镇Ville, Tamara Taylor和Carmen Ortiz的房子, 厨房
32245, 小镇Ville, Tamara Taylor和Carmen Ortiz的房子, 浴室
32255, 小镇Ville, Tamara Taylor和Carmen Ortiz的房子, 花园
32265, 小镇Ville, Moreno家的房子, Tom和Jane Moreno的卧室
32275, 小镇Ville, Moreno家的房子, 空卧室
32206, 小镇Ville, Moreno家的房子, 公共休息室
32216, 小镇Ville, Moreno家的房子, 厨房
32226, 小镇Ville, Moreno家的房子, 浴室
32236, 小镇Ville, Moreno家的房子, 花园
32246, 小镇Ville, Lin家的房子, Mei和John Lin的卧室
32256, 小镇Ville, Lin家的房子, Eddy Lin的卧室
32266, 小镇Ville, Lin家的房子, 公共休息室
32276, 小镇Ville, Lin家的房子, 厨房
32207, 小镇Ville, Lin家的房子, 浴室
32217, 小镇Ville, Lin家的房子, 花园
